"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dataset_threshold","dropout","epochs","learning_rate","max_len","max_length","test_train_split","weight_decay","accuracy","balanced_accuracy","best_epoch","best_val_loss","epoch","f1_macro","f1_micro","loss","val_balanced_accuracy","val_loss"
"floral-sweep-430","84is2x7c","finished","-","priceluke","","2022-04-20T03:09:52.000Z","67495","ne3vuqk1","64","0.024259239628234504","0.1","19","0.00005","100","33","0.8","","0.7574092035779718","0.8975105285644531","2","0.6465917825698853","18","0.7552974149109268","0.7574092035779718","0.3177380859851837","0.7574092149734497","0.8099859952926636"
"toasty-sweep-258","99xvb5lm","finished","-","priceluke","","2022-04-19T23:07:54.000Z","65635","ne3vuqk1","64","0.029789895179593233","0","22","0.0003","10","33","0.6","","0.7587383697955958","0.9461957216262816","1","0.6390073299407959","21","0.7563756240719948","0.7587383697955958","0.16783973574638367","0.7587383985519409","1.3122116327285769"
"noble-sweep-255","21t3zxza","finished","-","priceluke","","2022-04-19T23:06:05.000Z","58215","ne3vuqk1","32","0.02814238776219105","0.3","22","0.0003","50","33","0.7","","0.7381337274644744","0.9333980083465576","2","0.7126263380050659","21","0.7355451859304001","0.7381337274644745","0.22507764399051663","0.7381337285041809","1.320351004600525"
"mild-sweep-77","jk53mchr","finished","-","priceluke","","2022-04-19T20:22:49.000Z","57118","ne3vuqk1","32","0.029134796671764593","0.1","25","0.00005","70","33","0.8","","0.7578133419549521","0.8820993900299072","1","0.6578328609466553","24","0.7548919267293066","0.7578133419549521","0.3665395677089691","0.7578133344650269","0.7960132360458374"
"whole-sweep-316","un8v5lcf","finished","-","priceluke","","2022-04-20T00:31:14.000Z","56358","ne3vuqk1","64","0.024391196387215548","0.6","19","0.00003","100","33","0.6","","0.7669468692747063","0.7897672057151794","12","0.6588882803916931","18","0.7641423463785018","0.7669468692747063","0.6393329501152039","0.7669468522071838","0.6606889367103577"
"wandering-sweep-486","2zkn421k","finished","-","priceluke","","2022-04-20T04:13:53.000Z","55092","ne3vuqk1","8","0.023358040342156904","0.2","23","0.0001","10","33","0.8","","0.741906571541247","0.9457908868789672","0","0.7537856101989746","22","0.7409589303193379","0.741906571541247","0.20070859789848328","0.7419065833091736","1.2960693836212158"
"hopeful-sweep-23","snap7pua","finished","-","priceluke","","2022-04-19T20:22:41.000Z","54770","ne3vuqk1","8","0.023304635382685464","0.3","23","0.0001","30","33","0.65","","0.7491505978908353","0.905269205570221","0","0.7293758988380432","22","0.7476167091390572","0.7491505978908353","0.3349880874156952","0.7491505742073059","1.0464322566986084"
"wobbly-sweep-156","h317kb9f","finished","-","priceluke","","2022-04-19T20:45:56.000Z","54036","ne3vuqk1","8","0.027156380753532414","0.5","25","0.0001","150","33","0.95","","0.7289083504441243","0.9527915716171264","1","0.765117347240448","24","0.7263700399691062","0.7289083504441243","0.17734156548976898","0.728908360004425","1.6051868200302124"
"northern-sweep-424","enyv6pfk","finished","-","priceluke","","2022-04-20T03:02:10.000Z","53259","ne3vuqk1","16","0.02708273664763081","0.4","21","0.0001","30","33","0.8","","0.7544859359844811","0.9055932760238647","1","0.6573097705841064","20","0.7524439043617315","0.754485935984481","0.322857141494751","0.7544859647750854","0.911094844341278"
"curious-sweep-53","91idjtzh","finished","-","priceluke","","2022-04-19T20:22:45.000Z","51212","ne3vuqk1","16","0.02445005565232933","0.1","21","0.0003","80","33","0.8","","0.7307360706972734","0.8371591567993164","12","0.765914261341095","20","0.7275931665838913","0.7307360706972734","0.5176577568054199","0.7307360768318176","0.7963941097259521"
